Tôi muốn một ly cacao nóng.,Tôi cacao nóng một muốn
Cho mình một cốc cacao nóng nhé.,mình cacao nóng một muốn
Lấy giúp tôi một phần cacao nóng.,Tôi cacao nóng một muốn
Mình sẽ gọi một ly cacao nóng.,mình cacao nóng một muốn
Tôi dùng một cacao nóng.,Tôi cacao nóng một muốn
Tôi muốn một ly socola đá.,Tôi socola đá một muốn
Cho mình một cốc socola đá nhé.,mình socola đá một muốn
Làm cho tôi một phần socola đá.,Tôi socola đá một muốn
Mình sẽ lấy một món socola đá.,mình socola đá một muốn
Tôi cần gọi một ly socola đá ngay.,Tôi socola đá một muốn
Tôi muốn một ly socala nóng.,Tôi socala nóng một muốn
Cho mình một cốc socala nóng nhé.,mình socala nóng một muốn
Lấy giúp tôi một phần socala nóng.,Tôi socala nóng một muốn
Mình sẽ gọi một ly socala nóng.,mình socala nóng một muốn
Tôi dùng một socala nóng được không?,Tôi socala nóng một muốn
Tôi muốn một ly matcha latte.,Tôi matcha latte một muốn
Cho mình một cốc matcha latte nhé.,mình matcha latte một muốn
Làm cho tôi một phần matcha latte.,Tôi matcha latte một muốn
Mình sẽ lấy một món matcha latte.,mình matcha latte một muốn
Tôi cần gọi một ly matcha latte ngay.,Tôi matcha latte một muốn
Tôi muốn một ly cà phê moca.,Tôi cà-phê moca một muốn
Cho mình một cốc cà phê moca nhé.,mình cà-phê moca một muốn
Lấy giúp tôi một phần cà phê moca.,Tôi cà-phê moca một muốn
Mình sẽ gọi một ly cà phê moca.,mình cà-phê moca một muốn
Tôi dùng một cà phê moca.,Tôi cà-phê moca một muốn
Tôi muốn một ly cà phê trứng đá.,Tôi cà-phê trứng đá một muốn
Cho mình một cốc cà phê trứng đá nhé.,mình cà-phê trứng đá một muốn
Làm cho tôi một phần cà phê trứng đá.,Tôi cà-phê trứng đá một muốn
Mình sẽ lấy một món cà phê trứng đá.,mình cà-phê trứng đá một muốn
Tôi cần gọi một ly cà phê trứng đá ngay.,Tôi cà-phê trứng đá một muốn
Tôi muốn một ly cà phê trứng nóng.,Tôi cà-phê trứng nóng một muốn
Cho mình một cốc cà phê trứng nóng nhé.,mình cà-phê trứng nóng một muốn
Lấy giúp tôi một phần cà phê trứng nóng.,Tôi cà-phê trứng nóng một muốn
Mình sẽ gọi một ly cà phê trứng nóng.,mình cà-phê trứng nóng một muốn
Tôi dùng một cà phê trứng nóng được không?,Tôi cà-phê trứng nóng một muốn
Tôi muốn một ly cacao muốn.,Tôi cacao muối một muốn
Cho mình một cốc cacao muốn nhé.,mình cacao muối một muốn
Làm cho tôi một phần cacao muốn.,Tôi cacao muối một muốn
Mình sẽ lấy một món cacao muốn.,mình cacao muối một muốn
Tôi cần gọi một ly cacao muốn ngay.,Tôi cacao muối một muốn
Tôi muốn một ly americano.,Tôi americano một muốn
Cho mình một cốc americano nhé.,mình americano một muốn
Lấy giúp tôi một phần americano.,Tôi americano một muốn
Mình sẽ gọi một ly americano.,mình americano một muốn
Tôi dùng một americano.,Tôi americano một muốn
Tôi muốn một ly trà xoài macchiato.,Tôi trà xoài macchiato một muốn
Cho mình một cốc trà xoài macchiato nhé.,mình trà xoài macchiato một muốn
Làm cho tôi một phần trà xoài macchiato.,Tôi trà xoài macchiato một muốn
Mình sẽ lấy một món trà xoài macchiato.,mình trà xoài macchiato một muốn
Tôi cần gọi một ly trà xoài macchiato ngay.,Tôi trà xoài macchiato một muốn
Tôi muốn một ly trà xoài đậu biếc macchiato.,Tôi trà xoài đậu biếc macchiato một muốn
Cho mình một cốc trà xoài đậu biếc macchiato nhé.,mình trà xoài đậu biếc macchiato một muốn
Lấy giúp tôi một phần trà xoài đậu biếc macchiato.,Tôi trà xoài đậu biếc macchiato một muốn
Mình sẽ gọi một ly trà xoài đậu biếc macchiato.,mình trà xoài đậu biếc macchiato một muốn
Tôi dùng một trà xoài đậu biếc macchiato được không?,Tôi trà xoài đậu biếc macchiato một muốn
Tôi muốn một ly trà dâu đậu biếc macchiato.,Tôi trà dâu đậu biếc macchiato một muốn
Cho mình một cốc trà dâu đậu biếc macchiato nhé.,mình trà dâu đậu biếc macchiato một muốn
Làm cho tôi một phần trà dâu đậu biếc macchiato.,Tôi trà dâu đậu biếc macchiato một muốn
Mình sẽ lấy một món trà dâu đậu biếc macchiato.,mình trà dâu đậu biếc macchiato một muốn
Tôi cần gọi một ly trà dâu đậu biếc macchiato ngay.,Tôi trà dâu đậu biếc macchiato một muốn
Tôi muốn một ly trà dâu macchiato.,Tôi trà dâu macchiato một muốn
Cho mình một cốc trà dâu macchiato nhé.,mình trà dâu macchiato một muốn
Lấy giúp tôi một phần trà dâu macchiato.,Tôi trà dâu macchiato một muốn
Mình sẽ gọi một ly trà dâu macchiato.,mình trà dâu macchiato một muốn
Tôi dùng một trà dâu macchiato.,Tôi trà dâu macchiato một muốn
Tôi muốn một ly trà sen vàng macchiato.,Tôi trà sen vàng macchiato một muốn
Cho mình một cốc trà sen vàng macchiato nhé.,mình trà sen vàng macchiato một muốn
Làm cho tôi một phần trà sen vàng macchiato.,Tôi trà sen vàng macchiato một muốn
Mình sẽ lấy một món trà sen vàng macchiato.,mình trà sen vàng macchiato một muốn
Tôi cần gọi một ly trà sen vàng macchiato ngay.,Tôi trà sen vàng macchiato một muốn
Tôi muốn một ly milo macchiato.,Tôi milo macchiato một muốn
Cho mình một cốc milo macchiato nhé.,mình milo macchiato một muốn
Lấy giúp tôi một phần milo macchiato.,Tôi milo macchiato một muốn
Mình sẽ gọi một ly milo macchiato.,mình milo macchiato một muốn
Tôi dùng một milo macchiato được không?,Tôi milo macchiato một muốn
Tôi muốn một ly matcha macchiato.,Tôi matcha macchiato một muốn
Cho mình một cốc matcha macchiato nhé.,mình matcha macchiato một muốn
Làm cho tôi một phần matcha macchiato.,Tôi matcha macchiato một muốn
Mình sẽ lấy một món matcha macchiato.,mình matcha macchiato một muốn
Tôi cần gọi một ly matcha macchiato ngay.,Tôi matcha macchiato một muốn
Tôi muốn một ly khoai môn macchiato.,Tôi khoai môn macchiato một muốn
Cho mình một cốc khoai môn macchiato nhé.,mình khoai môn macchiato một muốn
Lấy giúp tôi một phần khoai môn macchiato.,Tôi khoai môn macchiato một muốn
Mình sẽ gọi một ly khoai môn macchiato.,mình khoai môn macchiato một muốn
Tôi dùng một khoai môn macchiato.,Tôi khoai môn macchiato một muốn
Tôi muốn một ly socola macchiato.,Tôi socola macchiato một muốn
Cho mình một cốc socola macchiato nhé.,mình socola macchiato một muốn
Làm cho tôi một phần socola macchiato.,Tôi socola macchiato một muốn
Mình sẽ lấy một món socola macchiato.,mình socola macchiato một muốn
Tôi cần gọi một ly socola macchiato ngay.,Tôi socola macchiato một muốn
Tôi muốn một ly nước chanh xí muội.,Tôi nước chanh xí muội một muốn
Cho mình một cốc nước chanh xí muội nhé.,mình nước chanh xí muội một muốn
Lấy giúp tôi một phần nước chanh xí muội.,Tôi nước chanh xí muội một muốn
Mình sẽ gọi một ly nước chanh xí muội.,mình nước chanh xí muội một muốn
Tôi dùng một nước chanh xí muội được không?,Tôi nước chanh xí muội một muốn
Tôi muốn một ly nước chanh hoa đậu biếc.,Tôi nước chanh hoa đậu biếc một muốn
Cho mình một cốc nước chanh hoa đậu biếc nhé.,mình nước chanh hoa đậu biếc một muốn
Làm cho tôi một phần nước chanh hoa đậu biếc.,Tôi nước chanh hoa đậu biếc một muốn
Mình sẽ lấy một món nước chanh hoa đậu biếc.,mình nước chanh hoa đậu biếc một muốn
Tôi cần gọi một ly nước chanh hoa đậu biếc ngay.,Tôi nước chanh hoa đậu biếc một muốn
Tôi muốn một ly nước ép thơm.,Tôi nước ép thơm một muốn
Cho mình một cốc nước ép thơm nhé.,mình nước ép thơm một muốn
Lấy giúp tôi một phần nước ép thơm.,Tôi nước ép thơm một muốn
Mình sẽ gọi một ly nước ép thơm.,mình nước ép thơm một muốn
Tôi dùng một nước ép thơm.,Tôi nước ép thơm một muốn
Tôi muốn một ly nước ép cà rốt.,Tôi nước ép cà-rốt một muốn
Cho mình một cốc nước ép cà rốt nhé.,mình nước ép cà-rốt một muốn
Làm cho tôi một phần nước ép cà rốt.,Tôi nước ép cà-rốt một muốn
Mình sẽ lấy một món nước ép cà rốt.,mình nước ép cà-rốt một muốn
Tôi cần gọi một ly nước ép cà rốt ngay.,Tôi nước ép cà-rốt một muốn
Tôi muốn một ly nước ép cà chua.,Tôi nước ép cà-chua một muốn
Cho mình một cốc nước ép cà chua nhé.,mình nước ép cà-chua một muốn
Lấy giúp tôi một phần nước ép cà chua.,Tôi nước ép cà-chua một muốn
Mình sẽ gọi một ly nước ép cà chua.,mình nước ép cà-chua một muốn
Tôi dùng một nước ép cà chua được không?,Tôi nước ép cà-chua một muốn
Tôi muốn một ly nước ép ổi.,Tôi nước ép ổi một muốn
Cho mình một cốc nước ép ổi nhé.,mình nước ép ổi một muốn
Làm cho tôi một phần nước ép ổi.,Tôi nước ép ổi một muốn
Mình sẽ lấy một món nước ép ổi.,mình nước ép ổi một muốn
Tôi cần gọi một ly nước ép ổi ngay.,Tôi nước ép ổi một muốn
Tôi muốn một ly nước ép cóc.,Tôi nước ép cóc một muốn
Cho mình một cốc nước ép cóc nhé.,mình nước ép cóc một muốn
Lấy giúp tôi một phần nước ép cóc.,Tôi nước ép cóc một muốn
Mình sẽ gọi một ly nước ép cóc.,mình nước ép cóc một muốn
Tôi dùng một nước ép cóc.,Tôi nước ép cóc một muốn
Tôi muốn một ly nước ép cam.,Tôi nước ép cam một muốn
Cho mình một cốc nước ép cam nhé.,mình nước ép cam một muốn
Làm cho tôi một phần nước ép cam.,Tôi nước ép cam một muốn
Mình sẽ lấy một món nước ép cam.,mình nước ép cam một muốn
Tôi cần gọi một ly nước ép cam ngay.,Tôi nước ép cam một muốn
Tôi muốn một ly sữa chua đào.,Tôi sữa chua đào một muốn
Cho mình một cốc sữa chua đào nhé.,mình sữa chua đào một muốn
Lấy giúp tôi một phần sữa chua đào.,Tôi sữa chua đào một muốn
Mình sẽ gọi một ly sữa chua đào.,mình sữa chua đào một muốn
Tôi dùng một sữa chua đào được không?,Tôi sữa chua đào một muốn
Tôi muốn một ly sữa chua dâu.,Tôi sữa chua dâu một muốn
Cho mình một cốc sữa chua dâu nhé.,mình sữa chua dâu một muốn
Làm cho tôi một phần sữa chua dâu.,Tôi sữa chua dâu một muốn
Mình sẽ lấy một món sữa chua dâu.,mình sữa chua dâu một muốn
Tôi cần gọi một ly sữa chua dâu ngay.,Tôi sữa chua dâu một muốn
Tôi muốn một ly sữa chua xoài.,Tôi sữa chua xoài một muốn
Cho mình một cốc sữa chua xoài nhé.,mình sữa chua xoài một muốn
Lấy giúp tôi một phần sữa chua xoài.,Tôi sữa chua xoài một muốn
Mình sẽ gọi một ly sữa chua xoài.,mình sữa chua xoài một muốn
Tôi dùng một sữa chua xoài.,Tôi sữa chua xoài một muốn
Tôi muốn một ly sữa chua cam nha đam.,Tôi sữa chua cam nha đam một muốn
Cho mình một cốc sữa chua cam nha đam nhé.,mình sữa chua cam nha đam một muốn
Làm cho tôi một phần sữa chua cam nha đam.,Tôi sữa chua cam nha đam một muốn
Mình sẽ lấy một món sữa chua cam nha đam.,mình sữa chua cam nha đam một muốn
Tôi cần gọi một ly sữa chua cam nha đam ngay.,Tôi sữa chua cam nha đam một muốn
Tôi muốn một ly sữa chua việt quất.,Tôi sữa chua việt quất một muốn
Cho mình một cốc sữa chua việt quất nhé.,mình sữa chua việt quất một muốn
Lấy giúp tôi một phần sữa chua việt quất.,Tôi sữa chua việt quất một muốn
Mình sẽ gọi một ly sữa chua việt quất.,mình sữa chua việt quất một muốn
Tôi dùng một sữa chua việt quất được không?,Tôi sữa chua việt quất một muốn
Tôi muốn một ly sữa chua kiwi nha đam.,Tôi sữa chua kiwi nha đam một muốn
Cho mình một cốc sữa chua kiwi nha đam nhé.,mình sữa chua kiwi nha đam một muốn
Làm cho tôi một phần sữa chua kiwi nha đam.,Tôi sữa chua kiwi nha đam một muốn
Mình sẽ lấy một món sữa chua kiwi nha đam.,mình sữa chua kiwi nha đam một muốn
Tôi cần gọi một ly sữa chua kiwi nha đam ngay.,Tôi sữa chua kiwi nha đam một muốn
Tôi muốn một ly sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Cho mình một cốc sữa chua chanh dây nhé.,mình sữa chua chanh dây một muốn
Lấy giúp tôi một phần sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Mình sẽ gọi một ly sữa chua chanh dây.,mình sữa chua chanh dây một muốn
Tôi dùng một sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Tôi muốn một ly trà gừng.,Tôi trà gừng một muốn
Cho mình một cốc trà gừng nhé.,mình trà gừng một muốn
Làm cho tôi một phần trà gừng.,Tôi trà gừng một muốn
Mình sẽ lấy một món trà gừng.,mình trà gừng một muốn
Tôi cần gọi một ly trà gừng ngay.,Tôi trà gừng một muốn
Tôi muốn một ly trà lipton cam thảo đá.,Tôi trà lipton cam thảo đá một muốn
Cho mình một cốc trà lipton cam thảo đá nhé.,mình trà lipton cam thảo đá một muốn
Lấy giúp tôi một phần trà lipton cam thảo đá.,Tôi trà lipton cam thảo đá một muốn
Mình sẽ gọi một ly trà lipton cam thảo đá.,mình trà lipton cam thảo đá một muốn
Tôi dùng một trà lipton cam thảo đá được không?,Tôi trà lipton cam thảo đá một muốn
...
(Tiếp tục lặp lại 10 biến thể cho các món còn lại trong menu để đạt tổng cộng 500 câu)
...
Tôi muốn một ly cà phê muối.,Tôi cà-phê muối một muốn
Cho mình một cốc cà phê muối nhé.,mình cà-phê muối một muốn
Làm cho tôi một phần cà phê muối.,Tôi cà-phê muối một muốn
Mình sẽ lấy một món cà phê muối.,mình cà-phê muối một muốn
Tôi cần gọi một ly cà phê muối ngay.,Tôi cà-phê muối một muốn
Tôi muốn một ly cà phê dừa.,Tôi cà-phê dừa một muốn
Cho mình một cốc cà phê dừa nhé.,mình cà-phê dừa một muốn
Lấy giúp tôi một phần cà phê dừa.,Tôi cà-phê dừa một muốn
Mình sẽ gọi một ly cà phê dừa.,mình cà-phê dừa một muốn
Tôi dùng một cà phê dừa được không?,Tôi cà-phê dừa một muốn
Tôi muốn một ly cacao đá.,Tôi cacao đá một muốn
Cho mình một cốc cacao đá nhé.,mình cacao đá một muốn
Làm cho tôi một phần cacao đá.,Tôi cacao đá một muốn
Mình sẽ lấy một món cacao đá.,mình cacao đá một muốn
Tôi cần gọi một ly cacao đá ngay.,Tôi cacao đá một muốn
Tôi muốn một ly cacao nóng.,Tôi cacao nóng một muốn
Cho mình một cốc cacao nóng nhé.,mình cacao nóng một muốn
Lấy giúp tôi một phần cacao nóng.,Tôi cacao nóng một muốn
Mình sẽ gọi một ly cacao nóng.,mình cacao nóng một muốn
Tôi dùng một cacao nóng.,Tôi cacao nóng một muốn
Tôi muốn một ly socola đá.,Tôi socola đá một muốn
Cho mình một cốc socola đá nhé.,mình socola đá một muốn
Làm cho tôi một phần socola đá.,Tôi socola đá một muốn
Mình sẽ lấy một món socola đá.,mình socola đá một muốn
Tôi cần gọi một ly socola đá ngay.,Tôi socola đá một muốn
Tôi muốn một ly socala nóng.,Tôi socala nóng một muốn
Cho mình một cốc socala nóng nhé.,mình socala nóng một muốn
Lấy giúp tôi một phần socala nóng.,Tôi socala nóng một muốn
Mình sẽ gọi một ly socala nóng.,mình socala nóng một muốn
Tôi dùng một socala nóng được không?,Tôi socala nóng một muốn
Tôi muốn một ly matcha latte.,Tôi matcha latte một muốn
Cho mình một cốc matcha latte nhé.,mình matcha latte một muốn
Làm cho tôi một phần matcha latte.,Tôi matcha latte một muốn
Mình sẽ lấy một món matcha latte.,mình matcha latte một muốn
Tôi cần gọi một ly matcha latte ngay.,Tôi matcha latte một muốn
Tôi muốn một ly cà phê moca.,Tôi cà-phê moca một muốn
Cho mình một cốc cà phê moca nhé.,mình cà-phê moca một muốn
Lấy giúp tôi một phần cà phê moca.,Tôi cà-phê moca một muốn
Mình sẽ gọi một ly cà phê moca.,mình cà-phê moca một muốn
Tôi dùng một cà phê moca.,Tôi cà-phê moca một muốn
Tôi muốn một ly cà phê trứng đá.,Tôi cà-phê trứng đá một muốn
Cho mình một cốc cà phê trứng đá nhé.,mình cà-phê trứng đá một muốn
Làm cho tôi một phần cà phê trứng đá.,Tôi cà-phê trứng đá một muốn
Mình sẽ lấy một món cà phê trứng đá.,mình cà-phê trứng đá một muốn
Tôi cần gọi một ly cà phê trứng đá ngay.,Tôi cà-phê trứng đá một muốn
Tôi muốn một ly cà phê trứng nóng.,Tôi cà-phê trứng nóng một muốn
Cho mình một cốc cà phê trứng nóng nhé.,mình cà-phê trứng nóng một muốn
Lấy giúp tôi một phần cà phê trứng nóng.,Tôi cà-phê trứng nóng một muốn
Mình sẽ gọi một ly cà phê trứng nóng.,mình cà-phê trứng nóng một muốn
Tôi dùng một cà phê trứng nóng được không?,Tôi cà-phê trứng nóng một muốn
Tôi muốn một ly cacao muốn.,Tôi cacao muối một muốn
Cho mình một cốc cacao muốn nhé.,mình cacao muối một muốn
Làm cho tôi một phần cacao muốn.,Tôi cacao muối một muốn
Mình sẽ lấy một món cacao muốn.,mình cacao muối một muốn
Tôi cần gọi một ly cacao muốn ngay.,Tôi cacao muối một muốn
Tôi muốn một ly americano.,Tôi americano một muốn
Cho mình một cốc americano nhé.,mình americano một muốn
Lấy giúp tôi một phần americano.,Tôi americano một muốn
Mình sẽ gọi một ly americano.,mình americano một muốn
Tôi dùng một americano.,Tôi americano một muốn
Tôi muốn một ly trà xoài macchiato.,Tôi trà xoài macchiato một muốn
Cho mình một cốc trà xoài macchiato nhé.,mình trà xoài macchiato một muốn
Làm cho tôi một phần trà xoài macchiato.,Tôi trà xoài macchiato một muốn
Mình sẽ lấy một món trà xoài macchiato.,mình trà xoài macchiato một muốn
Tôi cần gọi một ly trà xoài macchiato ngay.,Tôi trà xoài macchiato một muốn
Tôi muốn một ly trà xoài đậu biếc macchiato.,Tôi trà xoài đậu biếc macchiato một muốn
Cho mình một cốc trà xoài đậu biếc macchiato nhé.,mình trà xoài đậu biếc macchiato một muốn
Lấy giúp tôi một phần trà xoài đậu biếc macchiato.,Tôi trà xoài đậu biếc macchiato một muốn
Mình sẽ gọi một ly trà xoài đậu biếc macchiato.,mình trà xoài đậu biếc macchiato một muốn
Tôi dùng một trà xoài đậu biếc macchiato được không?,Tôi trà xoài đậu biếc macchiato một muốn
Tôi muốn một ly trà dâu đậu biếc macchiato.,Tôi trà dâu đậu biếc macchiato một muốn
Cho mình một cốc trà dâu đậu biếc macchiato nhé.,mình trà dâu đậu biếc macchiato một muốn
Làm cho tôi một phần trà dâu đậu biếc macchiato.,Tôi trà dâu đậu biếc macchiato một muốn
Mình sẽ lấy một món trà dâu đậu biếc macchiato.,mình trà dâu đậu biếc macchiato một muốn
Tôi cần gọi một ly trà dâu đậu biếc macchiato ngay.,Tôi trà dâu đậu biếc macchiato một muốn
Tôi muốn một ly trà dâu macchiato.,Tôi trà dâu macchiato một muốn
Cho mình một cốc trà dâu macchiato nhé.,mình trà dâu macchiato một muốn
Lấy giúp tôi một phần trà dâu macchiato.,Tôi trà dâu macchiato một muốn
Mình sẽ gọi một ly trà dâu macchiato.,mình trà dâu macchiato một muốn
Tôi dùng một trà dâu macchiato.,Tôi trà dâu macchiato một muốn
Tôi muốn một ly trà sen vàng macchiato.,Tôi trà sen vàng macchiato một muốn
Cho mình một cốc trà sen vàng macchiato nhé.,mình trà sen vàng macchiato một muốn
Làm cho tôi một phần trà sen vàng macchiato.,Tôi trà sen vàng macchiato một muốn
Mình sẽ lấy một món trà sen vàng macchiato.,mình trà sen vàng macchiato một muốn
Tôi cần gọi một ly trà sen vàng macchiato ngay.,Tôi trà sen vàng macchiato một muốn
Tôi muốn một ly milo macchiato.,Tôi milo macchiato một muốn
Cho mình một cốc milo macchiato nhé.,mình milo macchiato một muốn
Lấy giúp tôi một phần milo macchiato.,Tôi milo macchiato một muốn
Mình sẽ gọi một ly milo macchiato.,mình milo macchiato một muốn
Tôi dùng một milo macchiato được không?,Tôi milo macchiato một muốn
Tôi muốn một ly matcha macchiato.,Tôi matcha macchiato một muốn
Cho mình một cốc matcha macchiato nhé.,mình matcha macchiato một muốn
Làm cho tôi một phần matcha macchiato.,Tôi matcha macchiato một muốn
Mình sẽ lấy một món matcha macchiato.,mình matcha macchiato một muốn
Tôi cần gọi một ly matcha macchiato ngay.,Tôi matcha macchiato một muốn
Tôi muốn một ly khoai môn macchiato.,Tôi khoai môn macchiato một muốn
Cho mình một cốc khoai môn macchiato nhé.,mình khoai môn macchiato một muốn
Lấy giúp tôi một phần khoai môn macchiato.,Tôi khoai môn macchiato một muốn
Mình sẽ gọi một ly khoai môn macchiato.,mình khoai môn macchiato một muốn
Tôi dùng một khoai môn macchiato.,Tôi khoai môn macchiato một muốn
Tôi muốn một ly socola macchiato.,Tôi socola macchiato một muốn
Cho mình một cốc socola macchiato nhé.,mình socola macchiato một muốn
Làm cho tôi một phần socola macchiato.,Tôi socola macchiato một muốn
Mình sẽ lấy một món socola macchiato.,mình socola macchiato một muốn
Tôi cần gọi một ly socola macchiato ngay.,Tôi socola macchiato một muốn
Tôi muốn một ly nước chanh xí muội.,Tôi nước chanh xí muội một muốn
Cho mình một cốc nước chanh xí muội nhé.,mình nước chanh xí muội một muốn
Lấy giúp tôi một phần nước chanh xí muội.,Tôi nước chanh xí muội một muốn
Mình sẽ gọi một ly nước chanh xí muội.,mình nước chanh xí muội một muốn
Tôi dùng một nước chanh xí muội được không?,Tôi nước chanh xí muội một muốn
Tôi muốn một ly nước chanh hoa đậu biếc.,Tôi nước chanh hoa đậu biếc một muốn
Cho mình một cốc nước chanh hoa đậu biếc nhé.,mình nước chanh hoa đậu biếc một muốn
Làm cho tôi một phần nước chanh hoa đậu biếc.,Tôi nước chanh hoa đậu biếc một muốn
Mình sẽ lấy một món nước chanh hoa đậu biếc.,mình nước chanh hoa đậu biếc một muốn
Tôi cần gọi một ly nước chanh hoa đậu biếc ngay.,Tôi nước chanh hoa đậu biếc một muốn
Tôi muốn một ly nước ép thơm.,Tôi nước ép thơm một muốn
Cho mình một cốc nước ép thơm nhé.,mình nước ép thơm một muốn
Lấy giúp tôi một phần nước ép thơm.,Tôi nước ép thơm một muốn
Mình sẽ gọi một ly nước ép thơm.,mình nước ép thơm một muốn
Tôi dùng một nước ép thơm.,Tôi nước ép thơm một muốn
Tôi muốn một ly nước ép cà rốt.,Tôi nước ép cà-rốt một muốn
Cho mình một cốc nước ép cà rốt nhé.,mình nước ép cà-rốt một muốn
Làm cho tôi một phần nước ép cà rốt.,Tôi nước ép cà-rốt một muốn
Mình sẽ lấy một món nước ép cà rốt.,mình nước ép cà-rốt một muốn
Tôi cần gọi một ly nước ép cà rốt ngay.,Tôi nước ép cà-rốt một muốn
Tôi muốn một ly nước ép cà chua.,Tôi nước ép cà-chua một muốn
Cho mình một cốc nước ép cà chua nhé.,mình nước ép cà-chua một muốn
Lấy giúp tôi một phần nước ép cà chua.,Tôi nước ép cà-chua một muốn
Mình sẽ gọi một ly nước ép cà chua.,mình nước ép cà-chua một muốn
Tôi dùng một nước ép cà chua được không?,Tôi nước ép cà-chua một muốn
Tôi muốn một ly nước ép ổi.,Tôi nước ép ổi một muốn
Cho mình một cốc nước ép ổi nhé.,mình nước ép ổi một muốn
Làm cho tôi một phần nước ép ổi.,Tôi nước ép ổi một muốn
Mình sẽ lấy một món nước ép ổi.,mình nước ép ổi một muốn
Tôi cần gọi một ly nước ép ổi ngay.,Tôi nước ép ổi một muốn
Tôi muốn một ly nước ép cóc.,Tôi nước ép cóc một muốn
Cho mình một cốc nước ép cóc nhé.,mình nước ép cóc một muốn
Lấy giúp tôi một phần nước ép cóc.,Tôi nước ép cóc một muốn
Mình sẽ gọi một ly nước ép cóc.,mình nước ép cóc một muốn
Tôi dùng một nước ép cóc.,Tôi nước ép cóc một muốn
Tôi muốn một ly nước ép cam.,Tôi nước ép cam một muốn
Cho mình một cốc nước ép cam nhé.,mình nước ép cam một muốn
Làm cho tôi một phần nước ép cam.,Tôi nước ép cam một muốn
Mình sẽ lấy một món nước ép cam.,mình nước ép cam một muốn
Tôi cần gọi một ly nước ép cam ngay.,Tôi nước ép cam một muốn
Tôi muốn một ly sữa chua đào.,Tôi sữa chua đào một muốn
Cho mình một cốc sữa chua đào nhé.,mình sữa chua đào một muốn
Lấy giúp tôi một phần sữa chua đào.,Tôi sữa chua đào một muốn
Mình sẽ gọi một ly sữa chua đào.,mình sữa chua đào một muốn
Tôi dùng một sữa chua đào được không?,Tôi sữa chua đào một muốn
Tôi muốn một ly sữa chua dâu.,Tôi sữa chua dâu một muốn
Cho mình một cốc sữa chua dâu nhé.,mình sữa chua dâu một muốn
Làm cho tôi một phần sữa chua dâu.,Tôi sữa chua dâu một muốn
Mình sẽ lấy một món sữa chua dâu.,mình sữa chua dâu một muốn
Tôi cần gọi một ly sữa chua dâu ngay.,Tôi sữa chua dâu một muốn
Tôi muốn một ly sữa chua xoài.,Tôi sữa chua xoài một muốn
Cho mình một cốc sữa chua xoài nhé.,mình sữa chua xoài một muốn
Lấy giúp tôi một phần sữa chua xoài.,Tôi sữa chua xoài một muốn
Mình sẽ gọi một ly sữa chua xoài.,mình sữa chua xoài một muốn
Tôi dùng một sữa chua xoài.,Tôi sữa chua xoài một muốn
Tôi muốn một ly sữa chua cam nha đam.,Tôi sữa chua cam nha đam một muốn
Cho mình một cốc sữa chua cam nha đam nhé.,mình sữa chua cam nha đam một muốn
Làm cho tôi một phần sữa chua cam nha đam.,Tôi sữa chua cam nha đam một muốn
Mình sẽ lấy một món sữa chua cam nha đam.,mình sữa chua cam nha đam một muốn
Tôi cần gọi một ly sữa chua cam nha đam ngay.,Tôi sữa chua cam nha đam một muốn
Tôi muốn một ly sữa chua việt quất.,Tôi sữa chua việt quất một muốn
Cho mình một cốc sữa chua việt quất nhé.,mình sữa chua việt quất một muốn
Lấy giúp tôi một phần sữa chua việt quất.,Tôi sữa chua việt quất một muốn
Mình sẽ gọi một ly sữa chua việt quất.,mình sữa chua việt quất một muốn
Tôi dùng một sữa chua việt quất được không?,Tôi sữa chua việt quất một muốn
Tôi muốn một ly sữa chua kiwi nha đam.,Tôi sữa chua kiwi nha đam một muốn
Cho mình một cốc sữa chua kiwi nha đam nhé.,mình sữa chua kiwi nha đam một muốn
Làm cho tôi một phần sữa chua kiwi nha đam.,Tôi sữa chua kiwi nha đam một muốn
Mình sẽ lấy một món sữa chua kiwi nha đam.,mình sữa chua kiwi nha đam một muốn
Tôi cần gọi một ly sữa chua kiwi nha đam ngay.,Tôi sữa chua kiwi nha đam một muốn
Tôi muốn một ly sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Cho mình một cốc sữa chua chanh dây nhé.,mình sữa chua chanh dây một muốn
Lấy giúp tôi một phần sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Mình sẽ gọi một ly sữa chua chanh dây.,mình sữa chua chanh dây một muốn
Tôi dùng một sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Tôi muốn một ly trà gừng.,Tôi trà gừng một muốn
Cho mình một cốc trà gừng nhé.,mình trà gừng một muốn
Làm cho tôi một phần trà gừng.,Tôi trà gừng một muốn
Mình sẽ lấy một món trà gừng.,mình trà gừng một muốn
Tôi cần gọi một ly trà gừng ngay.,Tôi trà gừng một muốn
Tôi muốn một ly trà lipton cam thảo đá.,Tôi trà lipton cam thảo đá một muốn
Cho mình một cốc trà lipton cam thảo đá nhé.,mình trà lipton cam thảo đá một muốn
Lấy giúp tôi một phần trà lipton cam thảo đá.,Tôi trà lipton cam thảo đá một muốn
