vietnamese,vsl
Cho em xin một sữa chua chanh dây size vừa nha,mình sữa chua chanh dây một lạnh muốn
Mình order một ly nước ép cóc nha bạn,Tôi nước ép cóc một nước ép ổi một muốn
Cho tôi một ly nước ép cóc lạnh nha,Tôi phích cắm muốn
Cho tôi một ly cà phê lạnh nha,Tôi trà dâu một cà-phê sữa một đá ít muốn
Lấy giúp tôi một phần sữa chua dâu mang về,Tôi sữa chua dâu một muốn
Làm ơn cho mình một ly cà phê,Tôi cà-phê sữa một đá ít giấy ăn muốn
Pha giúp mình một sữa chua dâu thật ngon,Tôi sữa chua dâu một muốn
Cho mình một nước ép ổi nha,Tôi nước ép ổi hai ngọt ít muốn
Anh gọi một ly cốt dừa cốm xanh uống tại quán,mình giấy ăn một muốn
Cho em xin một trà size vừa nha,Tôi trà dâu ba đường ít muốn
Anh gọi một ly matcha macchiato uống tại quán,mình giấy ăn ít muốn
Làm ơn chuẩn bị cho mình một nước ép ổi,Tôi nước ép ổi một muốn
Cho mình một cà phê trứng nóng nha,Tôi giấy ăn phích cắm muốn
Làm ơn cho mình một ly nước ép thơm,mình nước ép thơm một lạnh muốn
Cho em một nước ép cóc ít đá nha,Tôi nước ép cóc một nước ép ổi một muốn
Anh gọi một ly sữa tươi trân châu đường đen uống tại quán,mình trà sữa một muốn
Tôi muốn uống một ly nước ép thơm bây giờ,Tôi nước ép thơm một muốn
Mình muốn gọi một ly trà thạch sữa đào,Tôi muỗng một muốn
Anh gọi một ly nước ép thơm uống tại quán,mình nước ép thơm một lạnh muốn
Cho em một trà ít đá nha,mình trà xoài một đường ít muốn
Làm ơn cho mình một ly trà thạch sữa đào,Tôi muỗng một muốn
Mình muốn gọi một ly sữa tươi trân châu đường đen kem trứng,Tôi trà sữa  một muốn
Làm ơn chuẩn bị cho mình một cà phê,Tôi trà dâu một cà-phê sữa một đá ít muốn
Cho mình gọi một sữa tươi trân châu đường đen với ạ,Tôi trà sữa một muốn
Lấy cho mình một ly nước ép cóc mang đi,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Mình muốn gọi một ly nước ép ổi,Tôi nước ép ổi hai ngọt ít muốn
Mình muốn gọi một ly sữa chua đào,Tôi cảm ơn
Mình order một ly cà phê đen phin nha bạn,mình sạc phích cắm muốn
Cho em một cà phê muối ít đá nha,Tôi ly nhỏ một muốn
Cho mình gọi một cà phê muối với ạ,Tôi ly nhỏ một muốn
Cho em một socola đá xay ít đá nha,Tôi ống hút một muốn
Cho mình gọi một cà phê đen phin với ạ,mình sạc phích cắm muốn
Lấy giúp tôi một phần sữa chua chanh dây mang về,mình sữa chua chanh dây một lạnh muốn
Cho em một sữa tươi trân châu đường đen kem trứng ít đá nha,Tôi trà sữa hai đá muốn
Cho tôi một ly sữa chua dâu lạnh nha,mình sữa chua dâu một muốn
Cho mình một phần sữa tươi trân châu đường đen được không,mình trà sữa một muốn
Cho em xin một socola đá xay size vừa nha,Tôi ống hút một muốn
Lấy cho mình một ly trà gừng mang đi,Tôi trà gừng một nóng muốn
Tôi muốn uống một ly cốt dừa cốm xanh bây giờ,mình giấy ăn một muốn
Làm ơn cho mình một ly nước ép cóc,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho mình một phần nước ép cóc được không,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho mình một phần nước ép cam được không,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Làm ơn chuẩn bị cho mình một cà phê muối,Tôi ly nhỏ một muốn
Pha giúp mình một nước ép cóc thật ngon,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho em một sữa tươi trân châu đường đen ít đá nha,Tôi trà dâu hai trà sữa một muốn
Cho mình một cà phê đen phin nha,mình sạc phích cắm muốn
Làm ơn chuẩn bị cho mình một trà,Tôi trà hoa đậu biếc một muốn
Anh gọi một ly nước ép cam uống tại quán,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Pha giúp mình một nước ép cam thật ngon,mình nước ép cam một đá ít muốn
Tôi muốn uống một ly matcha macchiato bây giờ,mình giấy ăn ít muốn
Mình order một ly matcha latte nha bạn,Tôi giấy ăn muốn
Mình order một ly sữa chua chanh dây nha bạn,mình sữa chua chanh dây một lạnh muốn
Mình muốn gọi một ly cà phê đen máy,Tôi ống hút một muốn
Cho tôi một ly nước ép ổi lạnh nha,Tôi nước ép ổi hai ngọt ít muốn
Làm ơn chuẩn bị cho mình một sữa chua chanh dây,Tôi sữa chua chanh dây ba phích cắm muốn
Mình muốn gọi một ly nước ép cam,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Tôi muốn uống một ly sữa chua chanh dây bây giờ,mình sữa chua chanh dây một lạnh muốn
Tôi muốn uống một ly nước ép cam bây giờ,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Làm ơn cho mình một ly sữa chua xoài,Tôi sữa chua xoài hai sữa chua dâu một muốn
Cho tôi một ly sữa chua đào lạnh nha,Tôi cảm ơn
Pha giúp mình một cà phê trứng nóng thật ngon,Tôi giấy ăn phích cắm muốn
Pha giúp mình một matcha macchiato thật ngon,mình giấy ăn ít muốn
Lấy giúp tôi một phần nước ép cóc mang về,Tôi nước ép cóc một nước ép ổi một muốn
Làm ơn cho mình một ly trà,Tôi trà dâu ba đường ít muốn
Lấy cho mình một ly cà phê đen phin mang đi,mình sạc phích cắm muốn
Cho tôi một ly socala nóng lạnh nha,Tôi giấy ăn muốn
Anh gọi một ly socala nóng uống tại quán,Tôi giấy ăn muốn
Cho em xin một cà phê trứng nóng size vừa nha,Tôi giấy ăn phích cắm muốn
Mình order một ly matcha macchiato nha bạn,mình giấy ăn ít muốn
Tôi muốn uống một ly matcha latte bây giờ,Tôi giấy ăn muốn
Cho em xin một cà phê muối size vừa nha,Tôi ly nhỏ một muốn
Cho mình một phần nước ép ổi được không,Tôi nước ép ổi hai ngọt ít muốn
Làm ơn chuẩn bị cho mình một nước ép cam,mình cảm ơn
Mình order một ly sữa chua đào nha bạn,Tôi cảm ơn
Cho mình gọi một sữa chua xoài với ạ,Tôi cà-phê đen một sữa chua xoài hai muốn
Lấy giúp tôi một phần socola đá xay mang về,Tôi ống hút một muốn
Cho em một cà phê đen phin ít đá nha,mình sạc phích cắm muốn
Cho mình một nước ép cóc nha,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho em một matcha đá xay ít đá nha,Tôi phích cắm muốn
Cho em xin một sữa tươi trân châu đường đen kem trứng size vừa nha,Tôi trà sữa hai đá muốn
Pha giúp mình một trà thật ngon,mình trà xoài một đường ít muốn
Làm ơn cho mình một ly sữa chua đào,Tôi cảm ơn
Làm ơn chuẩn bị cho mình một cà phê trứng nóng,Tôi giấy ăn phích cắm muốn
Làm ơn cho mình một ly socola đá xay,Tôi ống hút một muốn
Mình order một ly cà phê nha bạn,Tôi cà-phê sữa một đá ít giấy ăn muốn
Cho em xin một cà phê đen máy size vừa nha,Tôi ống hút một muốn
Làm ơn chuẩn bị cho mình một socola đá xay,Tôi ống hút một muốn
Cho mình một trà thạch sữa đào nha,Tôi muỗng một muốn
Lấy cho mình một ly sữa tươi trân châu đường đen kem trứng mang đi,Tôi trà sữa  ba giấy ăn muốn
Lấy giúp tôi một phần nước ép cam mang về,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Cho mình một cốt dừa cốm xanh nha,mình giấy ăn một muốn
Cho em xin một nước ép ổi size vừa nha,Tôi nước ép ổi hai ngọt ít muốn
Cho em một cốt dừa cốm xanh ít đá nha,mình giấy ăn một muốn
Cho mình một sữa tươi trân châu đường đen kem trứng nha,Tôi trà sữa hai đá muốn
Cho tôi một ly nước ép thơm lạnh nha,mình nước ép thơm một lạnh muốn
Cho em một cà phê moca ít đá nha,mình phích cắm muốn
Cho em xin một nước ép thơm size vừa nha,mình nước ép thơm một lạnh muốn
Cho em xin một trà gừng size vừa nha,Tôi trà gừng một nóng muốn
Cho em xin một sữa chua đào size vừa nha,Tôi cảm ơn
Cho mình một phần trà được không,Tôi trà dâu ba đường ít muốn
Cho mình gọi một socala nóng với ạ,Tôi giấy ăn muốn
Lấy cho mình một ly socola đá xay mang đi,Tôi ống hút một muốn
Mình order một ly sữa tươi trân châu đường đen kem trứng nha bạn,Tôi trà sữa hai đá muốn
Làm ơn cho mình một ly sữa tươi trân châu đường đen kem trứng,Tôi trà sữa hai đá muốn
Pha giúp mình một sữa tươi trân châu đường đen kem trứng thật ngon,Tôi trà sữa  ba giấy ăn muốn
Pha giúp mình một cà phê thật ngon,Tôi cà-phê đen một muốn
Mình muốn gọi một ly sữa chua xoài,Tôi sữa chua xoài hai sữa chua dâu một muốn
Mình order một ly sữa tươi trân châu đường đen nha bạn,Tôi trà sữa một muốn
Tôi muốn uống một ly sữa tươi trân châu đường đen bây giờ,Tôi trà dâu hai trà sữa một muốn
Mình order một ly nước ép thơm nha bạn,Tôi nước ép thơm một muốn
Cho mình một cà phê moca nha,mình phích cắm muốn
Làm ơn cho mình một ly nước ép ổi,Tôi nước ép ổi hai ngọt ít muốn
Tôi muốn uống một ly sữa tươi trân châu đường đen kem trứng bây giờ,Tôi trà sữa  ba giấy ăn muốn
Cho mình một socala nóng nha,Tôi giấy ăn muốn
Cho mình một sữa tươi trân châu đường đen nha,Tôi trà sữa một muốn
Lấy cho mình một ly matcha đá xay mang đi,Tôi phích cắm muốn
Lấy giúp tôi một phần cà phê đen máy mang về,Tôi ống hút một muốn
Mình muốn gọi một ly cà phê moca,mình phích cắm muốn
Anh gọi một ly nước ép ổi uống tại quán,Tôi nước ép ổi hai ngọt ít muốn
Cho em một nước ép cam ít đá nha,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Mình muốn gọi một ly trà,mình trà xoài một đường ít muốn
Lấy cho mình một ly sữa tươi trân châu đường đen mang đi,Tôi trà sữa một muốn
Lấy cho mình một ly sữa chua dâu mang đi,Tôi sữa chua dâu một muốn
Cho mình một phần trà gừng được không,Tôi trà gừng một nóng muốn
Mình order một ly matcha đá xay nha bạn,Tôi phích cắm muốn
Cho mình gọi một sữa chua đào với ạ,Tôi cảm ơn
Làm ơn chuẩn bị cho mình một sữa tươi trân châu đường đen kem trứng,Tôi trà sữa hai đá muốn
Cho tôi một ly cà phê đen phin lạnh nha,mình sạc phích cắm muốn
Cho mình gọi một sữa chua chanh dây với ạ,Tôi sữa chua chanh dây ba phích cắm muốn
Lấy cho mình một ly cà phê muối mang đi,Tôi ly nhỏ một muốn
Làm ơn cho mình một ly cà phê đen máy,Tôi ống hút một muốn
Mình muốn gọi một ly cà phê trứng nóng,Tôi giấy ăn phích cắm muốn
Anh gọi một ly sữa chua chanh dây uống tại quán,mình sữa chua chanh dây một lạnh muốn
Mình muốn gọi một ly sữa tươi trân châu đường đen,Tôi trà sữa một muốn
Cho em xin một cốt dừa cốm xanh size vừa nha,mình giấy ăn một muốn
Tôi muốn uống một ly cà phê bây giờ,Tôi cà-phê sữa một đá ít giấy ăn muốn
Làm ơn chuẩn bị cho mình một trà gừng,Tôi trà gừng một nóng muốn
Lấy giúp tôi một phần trà mang về,mình trà xoài một đường ít muốn
Cho tôi một ly sữa chua xoài lạnh nha,Tôi sữa chua xoài hai cà-phê đen một muốn
Lấy cho mình một ly socala nóng mang đi,Tôi giấy ăn muốn
Cho em xin một matcha đá xay size vừa nha,Tôi phích cắm muốn
Cho tôi một ly socola đá xay lạnh nha,Tôi ống hút một muốn
Mình order một ly nước ép ổi nha bạn,Tôi nước ép ổi một muốn
Cho em một trà gừng ít đá nha,Tôi trà gừng một muốn
Lấy cho mình một ly nước ép ổi mang đi,Tôi nước ép ổi bốn trà gừng một muốn
Anh gọi một ly cà phê uống tại quán,Tôi cà-phê sữa một đá ít giấy ăn muốn
Cho mình một trà nha,mình trà xoài một đường ít muốn
Cho mình gọi một matcha macchiato với ạ,mình giấy ăn ít muốn
Pha giúp mình một sữa tươi trân châu đường đen thật ngon,Tôi trà sữa một muốn
Cho mình một nước ép thơm nha,mình nước ép thơm một lạnh muốn
Cho mình gọi một trà gừng với ạ,Tôi khăn giấy ít muốn
Cho mình một phần nước ép thơm được không,mình nước ép thơm một lạnh muốn
Mình order một ly cà phê trứng nóng nha bạn,Tôi giấy ăn phích cắm muốn
Làm ơn chuẩn bị cho mình một cà phê đen máy,Tôi ống hút một muốn
Cho mình một cà phê nha,Tôi cà-phê sữa một đá ít giấy ăn muốn
Cho mình một phần matcha latte được không,Tôi giấy ăn muốn
Mình order một ly trà gừng nha bạn,Tôi trà gừng một nóng muốn
Lấy giúp tôi một phần trà thạch sữa đào mang về,Tôi muỗng một muốn
Mình muốn gọi một ly nước ép cóc,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho mình một phần sữa chua xoài được không,Tôi cà-phê đen một sữa chua xoài hai muốn
Cho tôi một ly matcha macchiato lạnh nha,mình giấy ăn ít muốn
"Em muốn một ly cà phê muối sữa, ít đá, và thêm giấy ăn.",Tôi cà-phê sữa một đá ít giấy ăn muốn
Đem Tôi ba ly sữa chua xoài và một phích cắm gần cửa.,Tôi sữa chua chanh dây ba phích cắm muốn
"Anh muốn bốn ly sữa chua cam nha đam, làm lạnh.",Tôi sữa chua chanh dây bốn lạnh muốn
Lấy Tôi một ly sữa chua cam nha đam,Tôi sữa chua xoài một muốn
"Mình lấy ba ly trà đào chanh leo, để nóng nhé.",Tôi trà gừng nóng ba muốn
"Mang cho Tôi ba ly trà đào cam sả đá xoài, thêm đường.",Tôi trà xoài ba đường muốn
Gọi giúp tôi một nước ép cam ít ngọt.,mình nước ép cóc một ngọt ít muốn
Đem Em thêm một cái ống hút.,Tôi ống hút một muốn
Mình muốn thêm một ly trà lipton cam thảo đá nóng.,Tôi trà gừng một nóng muốn
Lấy Tôi thêm đá cho hai ly cà phê đen máy sữa.,Tôi cà-phê sữa hai đá muốn
"Đem mình trà lipton cam thảo nóng xoài, ít đá.",mình trà xoài một đá ít muốn
"Mình muốn một ly trà dâu và một ly cà phê muối sữa, ít đá.",Tôi trà dâu một cà-phê sữa một đá ít muốn
Mình muốn một ly cà phê kem caramel đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
Lấy Tôi thêm một ly trà đào chanh leo hoa đậu biếc.,Tôi trà hoa đậu biếc một muốn
Mình gọi gọi một cà phê trứng nóng sữa nóng.,mình cà-phê sữa một nóng muốn
Mình gọi hai ly trà hoa đậu biếc và một ly sữa chua cam nha đam.,Tôi trà hoa đậu biếc hai sữa chua chanh dây một muốn
"Em muốn thêm đường cho ba ly trà đào cam sả đá dâu, cảm ơn.",Tôi trà dâu ba đường muốn
Đem Tôi thêm một ly nước chanh xí muội.,Tôi nước ép thơm một muốn
Anh muốn ba ly trà cam nha đam hoa đậu biếc.,Tôi trà hoa đậu biếc ba muốn
Mình muốn ba ly trà cam nha đam hoa đậu biếc.,Tôi trà hoa đậu biếc ba muốn
"Đem Tôi hai ly nước ép cà chua, ít ngọt.",Tôi nước ép ổi hai ngọt ít muốn
"Anh muốn một ly nước ép cóc, một ly trà xoài, và thêm đá.",Tôi nước ép thơm một trà xoài một đá muốn
"Đem Tôi bốn ly nước chanh xí muội và một ly trà gừng, cảm ơn.",Tôi nước ép ổi bốn trà gừng một muốn
"Anh gọi hai ly cà phê đen, một ly sữa chua xoài, và cảm ơn.",Tôi cà-phê đen hai sữa chua dâu một muốn
Mình gọi một ly trà lipton cam thảo nóng,Tôi trà gừng một muốn
Lấy Tôi một ly trà cam nha đam dâu và thêm giấy ăn.,Tôi trà dâu một giấy ăn muốn
Anh muốn hai ly cacao đá đen và cảm ơn.,Tôi cà-phê đen hai muốn
Mình uống một trà cam quế mật ong nóng hoa đậu biếc nhé.,mình trà hoa đậu biếc một muốn
Em muốn bốn ly cacao đá sữa và thêm đường.,Tôi cà-phê sữa bốn đường muốn
Em muốn một ly nước ép cà rốt và thêm giấy ăn.,Tôi nước ép ổi một giấy ăn muốn
Mình uống một tách nước ép thơm nguyên chất.,mình nước ép ổi một nguyên chất muốn
"Em lấy ba ly trà thạch vải, để nóng nhé.",Tôi trà gừng nóng ba muốn
Mang cho Tôi một ly nước chanh xí muội và cảm ơn.,Tôi nước ép cam một muốn
Em muốn một ly nước ép cam và một ly nước ép ổi.,Tôi nước ép cóc một nước ép ổi một muốn
Lấy Em thêm một cái muỗng.,Tôi muỗng một muốn
Em muốn một ly bạc xỉu nóng đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
Đem Tôi một ly sữa tươi trân châu đường đen trứng nướng,Tôi trà sữa một muốn
Lấy Tôi thêm đá cho hai ly cà phê trứng đá sữa.,Tôi cà-phê sữa hai đá muốn
Đem Tôi ba ly nước ép thơm và thêm giấy ăn.,Tôi nước ép cam ba giấy ăn muốn
Làm đem Tôi thêm một ly trà cam nha đam dâu.,Tôi trà dâu một muốn
Em muốn ba ly sữa tươi trân châu đường đen trứng nướng và thêm giấy ăn.,Tôi trà sữa  ba giấy ăn muốn
Cho giúp mình một nước ép cóc ít đá thôi.,mình nước ép cam một đá ít muốn
"Đem Tôi một ly cà phê sữa, một ly nước ép ổi, và giấy ăn.",Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Đem em xin thêm ít giấy ăn nhé.,mình giấy ăn ít muốn
Mang cho Tôi một ly nước ép cóc và cảm ơn.,Tôi nước ép cam một muốn
Đem Tôi thêm một ly bạc xỉu đá sữa.,Tôi cà-phê sữa một muốn
"Đem Tôi bốn ly cà phê đen Sài Gòn phin sữa, thêm đá nhiều.",Tôi cà-phê sữa bốn đá nhiều muốn
Mình uống một nước ép thơm vừa thôi.,mình nước ép ổi một muốn
Mình gọi một ly trà hoa đậu biếc và một ly sữa chua kiwi nha đam.,Tôi trà hoa đậu biếc một sữa chua chanh dây một muốn
"Anh lấy một ly trà gừng hoa đậu biếc, không đường.",Tôi trà hoa đậu biếc một đường không muốn
Anh muốn ba ly nước ép cóc và một phích cắm.,Tôi nước ép thơm ba phích cắm muốn
Đem Tôi thêm một ly cà phê đen phin sữa.,Tôi cà-phê sữa một muốn
"Mang cho Tôi ba ly trà olong dâu vải xoài, thêm đường.",Tôi trà xoài ba đường muốn
"Anh muốn một ly matcha latte đen, ít đường thôi.",Tôi cà-phê đen một đường ít muốn
Lấy Mình mượn phích cắm,Tôi phích cắm muốn
Đem Anh thêm một cái muỗng.,Tôi muỗng một muốn
Mình muốn một ly nước ép cà rốt và thêm giấy ăn.,Tôi nước ép ổi một giấy ăn muốn
Anh muốn hai ly cà phê trứng nóng đen và cảm ơn.,Tôi cà-phê đen hai muốn
"Anh muốn ba ly nước ép thơm, thêm đá nhiều.",Tôi nước ép cóc ba đá nhiều muốn
Làm cho mình một nước chanh xí muội mát lạnh.,mình nước ép thơm một lạnh muốn
Anh muốn bốn ly cà phê muối sữa và thêm đường.,Tôi cà-phê sữa bốn đường muốn
Em gọi một ly trà hoa đậu biếc và một ly sữa chua cam nha đam.,Tôi trà hoa đậu biếc một sữa chua chanh dây một muốn
Làm đem Tôi thêm một ly nước ép cà chua.,Tôi nước ép ổi một muốn
Anh muốn ba ly trà lipton cam thảo nóng hoa đậu biếc.,Tôi trà hoa đậu biếc ba muốn
Lấy mình một ly nước ép cà chua không đá.,mình nước ép thơm một đá không muốn
Em muốn một ly cà phê đen và hai ly sữa chua cam nha đam.,Tôi cà-phê đen một sữa chua xoài hai muốn
"Em lấy một ly trà cam nha đam hoa đậu biếc, không đường.",Tôi trà hoa đậu biếc một đường không muốn
Cho cho Tôi một ly cà phê đen và một ly nước ép cà rốt.,Tôi cà-phê đen một nước ép thơm một muốn
Lấy mình một ly sữa tươi trân châu đường đen trứng nướng nha.,mình trà sữa một muốn
Đem Tôi thêm một ly sữa tươi trân châu đường đen trứng nướng.,Tôi trà sữa một muốn
Đem Mình mượn phích cắm,Tôi phích cắm muốn
Cho giúp mình một ly trà lipton cam thảo đá xoài ít đường.,mình trà xoài một đường ít muốn
"Em gọi hai ly cà phê đen, một ly sữa chua đào, và cảm ơn.",Tôi cà-phê đen hai sữa chua dâu một muốn
"Em muốn một ly trà đào cam sả đá hoa đậu biếc, làm nhanh.",Tôi trà hoa đậu biếc một muốn
Em muốn một ly cà phê đen Sài Gòn máy đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
Đem Tôi một ly cà phê dừa đen không đường.,Tôi cà-phê đen một đường không muốn
Mang giúp mình một nước chanh hoa đậu biếc ít đá thôi.,mình nước ép cam một đá ít muốn
Mình muốn hai ly sữa chua chanh dây và một ly sữa chua dâu.,Tôi sữa chua xoài hai sữa chua dâu một muốn
Gọi giúp em một nước ép cam ít ngọt.,mình nước ép cóc một ngọt ít muốn
"Em gọi hai ly sữa tươi trân châu đường đen trứng nướng, thêm đá.",Tôi trà sữa hai đá muốn
Đem mình một hũ sữa chua việt quất nha.,mình sữa chua dâu một muốn
Anh lấy hai ly trà dâu và một ly sữa tươi trân châu đường đen trứng nướng.,Tôi trà dâu hai trà sữa một muốn
Đem Tôi thêm một ly trà cam quế mật ong nóng dâu,Tôi trà dâu một muốn
Anh muốn hai ly bạc xỉu đá đen và cảm ơn.,Tôi cà-phê đen hai muốn
Làm lấy Tôi một ly trà cam quế mật ong đá xoài,Tôi trà xoài một muốn
Em muốn bốn ly sữa chua kiwi nha đam và một phích cắm.,Tôi sữa chua chanh dây bốn phích cắm muốn
"Em lấy ba ly sữa chua xoài, làm nhanh giúp Tôi.",Tôi sữa chua dâu ba muốn
Làm đem Tôi một ly sữa chua kiwi nha đam,Tôi sữa chua chanh dây một muốn
Lấy mình một ly socala nóng đen đá.,mình cà-phê đen một muốn
Anh muốn ba ly trà đào cam sả nóng hoa đậu biếc.,Tôi trà hoa đậu biếc ba muốn
Làm lấy Tôi thêm một ly nước chanh xí muội.,Tôi nước ép ổi một muốn
Đem mình một nước ép cà chua không bỏ đường.,mình nước ép cóc một đường không muốn
Mình uống một cacao nóng sữa đá.,mình cà-phê sữa một đá muốn
"Đem Tôi năm ly nước ép ổi, mang ra nhanh giúp.",Tôi nước ép thơm năm muốn
Mình gọi một ly trà cam quế mật ong nóng dâu,Tôi trà dâu một muốn
Mình muốn một ly sữa chua chanh dây,Tôi sữa chua dâu một muốn
Làm lấy mình một phần sữa chua kiwi nha đam mát lạnh.,mình sữa chua chanh dây một lạnh muốn
"Đem Tôi bốn ly nước ép cam và một ly trà gừng, cảm ơn.",Tôi nước ép ổi bốn trà gừng một muốn
Đem Tôi thêm một ly trà lipton cam thảo nóng hoa đậu biếc.,Tôi trà hoa đậu biếc một muốn
Đem mình một nước chanh hoa đậu biếc không bỏ đường.,mình nước ép cóc một đường không muốn
Lấy Mình thêm một cái muỗng.,Tôi muỗng một muốn
Lấy tôi xin thêm ít giấy ăn nhé.,mình giấy ăn ít muốn
Cho cho Tôi một ly trà olong dâu vải nóng.,Tôi trà gừng một nóng muốn
Em gọi một ly nước ép ổi và hai ly sữa tươi trân châu đường đen kem trứng.,Tôi nước ép ổi một trà sữa hai muốn
Em muốn một ly nước ép thơm và một ly nước ép ổi.,Tôi nước ép cóc một nước ép ổi một muốn
Mình uống một cốc nước chanh hoa đậu biếc nguyên chất.,mình nước ép ổi một nguyên chất muốn
Mình order thử sữa tươi trân châu đường đen trứng nướng.,mình trà sữa một muốn
Mình uống một cacao đá sữa đá.,mình cà-phê sữa một đá muốn
Lấy Tôi thêm một ly trà thạch vải dâu,Tôi trà dâu một muốn
Em muốn một ly nước ép cà rốt và một ly nước ép ổi.,Tôi nước ép cóc một nước ép ổi một muốn
Lấy Tôi thêm một ly nước ép ổi.,Tôi nước ép thơm một muốn
Mình lấy hai ly trà dâu và một ly sữa tươi trân châu đường đen trứng nướng.,Tôi trà dâu hai trà sữa một muốn
Mình muốn một ly sữa chua xoài,Tôi sữa chua dâu một muốn
Mình muốn một ly trà lipton cam thảo đá và hai ly cà phê sữa.,Tôi trà gừng một cà-phê sữa hai muốn
Mình uống một cốc trà cam quế mật ong đá nóng.,mình trà gừng một nóng muốn
Làm lấy mình một ly americano đen không đường.,mình cà-phê đen một đường không muốn
Mình muốn một ly cà phê trứng đá sữa và một ly trà xoài.,Tôi cà-phê sữa một trà xoài một muốn
Em gọi thêm một cái ly nhỏ.,Tôi ly nhỏ một muốn
Mình uống một tách trà lipton cam thảo nóng nóng.,mình trà gừng một nóng muốn
Làm lấy Tôi thêm một ly nước ép cam.,Tôi nước ép ổi một muốn
Mình chọn một phần trà cam nha đam dâu nha.,mình trà dâu một muốn
Mình gọi hai ly cà phê trứng nóng sữa ít đá nhé.,Tôi cà-phê sữa hai đá ít muốn
Chuẩn bị cho mình một nước ép cam mát lạnh.,mình nước ép thơm một lạnh muốn
Làm lấy Tôi một ly trà thạch vải xoài,Tôi trà xoài một muốn
"Đem Tôi hai ly nước ép thơm, ít ngọt.",Tôi nước ép ổi hai ngọt ít muốn
Mình gọi một phần sữa chua kiwi nha đam.,mình sữa chua xoài một muốn
"Em muốn một ly nước ép cam, một ly trà gừng, và một ly sữa chua việt quất.",Tôi nước ép cam một trà gừng một sữa chua xoài một muốn
Mình muốn hai ly trà đào cam sả nóng xoài và thêm đá.,Tôi trà xoài hai đá muốn
Mình muốn bốn ly bạc xỉu nóng sữa và thêm đường.,Tôi cà-phê sữa bốn đường muốn
Em muốn bốn ly sữa chua đào và một phích cắm.,Tôi sữa chua chanh dây bốn phích cắm muốn
Mình muốn hai ly sữa tươi trân châu đường đen trứng nướng.,Tôi trà sữa  hai muốn
"Em muốn một ly trà dâu và một ly cà phê kem caramel sữa, ít đá.",Tôi trà dâu một cà-phê sữa một đá ít muốn
Mình muốn một ly cà phê muối sữa và một ly trà xoài.,Tôi cà-phê sữa một trà xoài một muốn
Mình chọn sữa chua việt quất thêm topping trân châu.,mình sữa chua xoài một trân châu muốn
Làm đem Tôi một ly nước chanh hoa đậu biếc,Tôi nước ép cóc một muốn
Mình muốn một ly sữa tươi trân châu đường đen trứng nướng,Tôi trà sữa  một muốn
Anh muốn một ly nước chanh xí muội và thêm giấy ăn.,Tôi nước ép ổi một giấy ăn muốn
"Em gọi hai ly sữa chua cam nha đam, một ly cà phê đen, và một phích cắm.",Tôi sữa chua xoài hai cà-phê đen một phích cắm muốn
Em gọi một ly nước ép ổi và hai ly sữa tươi trân châu đường đen trứng nướng.,Tôi nước ép ổi một trà sữa hai muốn
Mình gọi hai ly cà phê dừa sữa ít đá nhé.,Tôi cà-phê sữa hai đá ít muốn
Làm đem Tôi một ly sữa chua dâu,Tôi sữa chua chanh dây một muốn
Đem Tôi một ly trà olong dâu vải dâu và thêm giấy ăn.,Tôi trà dâu một giấy ăn muốn
Mình lấy hai ly trà dâu và một ly sữa tươi trân châu đường đen kem trứng.,Tôi trà dâu hai trà sữa một muốn
Cắm giùm tôi cái sạc vào phích cắm kia với.,mình sạc phích cắm muốn
Làm đem Tôi thêm một ly cà phê dừa sữa.,Tôi cà-phê sữa một muốn
Em muốn một ly nước chanh hoa đậu biếc và hai ly nước ép cam.,Tôi nước ép thơm một nước ép cam hai muốn
Mình muốn một ly cà phê trứng nóng sữa và một ly trà xoài.,Tôi cà-phê sữa một trà xoài một muốn
Đem Em mượn phích cắm,Tôi phích cắm muốn
Đem Tôi một ly sữa chua kiwi nha đam,Tôi sữa chua xoài một muốn
Em lấy hai ly sữa chua đào và một ly trà gừng.,Tôi sữa chua xoài hai trà gừng một muốn
"Đem Tôi một ly sữa chua xoài, không đường.",Tôi sữa chua dâu một đường không muốn
Anh gọi một ly trà vải cam sả,Tôi trà gừng một muốn
Làm đem mình một ly trà đào cam sả nóng dâu size lớn.,mình trà dâu một lớn muốn
Em gọi một ly trà thạch sữa đào dâu,Tôi trà dâu một muốn
