input_text,target_text
vi: Tôi đang ăn cơm .,vsl: Tôi ăn cơm .
vi: Rất vui vì tôi có thể giúp .,vsl: Rất vui tôi có thể giúp .
vi: Tôi không phải một người yêu mèo .,vsl: Tôi phải một người yêu mèo không
vi: Tôi không phải là một con người yêu mèo .,vsl: Tôi phải là một con người yêu mèo không
vi: Tôi không phải là một người yêu mèo .,vsl: Tôi phải là một người yêu mèo không
vi: Tôi không đùa đâu Nam .,vsl: Tôi đùa đâu Nam không
vi: Tôi thực sự cũng không chắc nữa .,vsl: Tôi thực sự cũng nữa không
vi: Thật sự tôi cũng không chắc nữa .,vsl: Thật sự tôi cũng nữa không
vi: Thật sự là tôi cũng không chắc nữa .,vsl: Thật sự là tôi cũng nữa không
vi: Tôi đang học tiếng Pháp .,vsl: Tôi học tiếng Pháp .
vi: Tôi cao hơn Nam .,vsl: Tôi cao hơn Nam .
vi: Tôi bị đau đầu .,vsl: Tôi đau đầu .
vi: Tôi bị mất ví .,vsl: Tôi mất ví .
vi: Tôi từng tận mắt thấy nó .,vsl: Tôi tận mắt thấy nó .
vi: Tôi đã nhìn thấy bạn trên ti vi .,vsl: Tôi nhìn thấy bạn trên ti vi .
vi: Mọi người đang chờ à ?,vsl: người chờ ?
vi: Mọi người đang đợi à ?,vsl: người đợi ?
vi: Cái đó tốt hay xấu ?,vsl: Cái đó tốt hay xấu ?
vi: Nó rất có ích .,vsl: Nó rất có ích .
vi: Cuối cùng cũng đến thứ sáu rồi đấy .,vsl: Cuối cùng cũng đến thứ sáu rồi đấy .
vi: Cuối cùng cũng đến thứ Sáu rồi .,vsl: Cuối cùng cũng đến thứ Sáu rồi .
vi: Cuối cùng cũng tới thứ 6 rồi .,vsl: Cuối cùng cũng tới thứ 6 rồi .
vi: Nó không đủ to .,vsl: Nó đủ to không
vi: Tránh xa chỗ đó ra .,vsl: Tránh xa chỗ đó ra .
vi: Tránh xa nơi đó .,vsl: Tránh xa nơi đó .
vi: Tránh xa nơi đó ra .,vsl: Tránh xa nơi đó ra .
vi: Mẹ luôn luôn đúng .,vsl: Mẹ luôn luôn đúng .
vi: Lưng tôi vẫn đau .,vsl: Lưng tôi đau .
vi: Sở thích của tôi là đọc sách .,vsl: Sở thích tôi là đọc sách .
vi: Tôi bị trộm mất tiền .,vsl: Tôi trộm mất tiền .
vi: Tôi bị đau toàn thân .,vsl: Tôi đau toàn thân .
vi: Không ai có thể ngăn cản Nam .,vsl: có thể ngăn cản Nam ai
vi: Không một ai có thể ngăn Nam lại .,vsl: một có thể ngăn Nam ai
vi: Hãy cho tôi xem cái kia .,vsl: cho tôi xem cái kia .
vi: Vật giá đang tăng .,vsl: Vật giá tăng .
vi: Trăm nghe không bằng một thấy .,vsl: Trăm nghe bằng một thấy không
vi: Cô ấy tầm tuổi tôi .,vsl: Cô tầm tuổi tôi .
vi: Cô ấy rất khoẻ mạnh .,vsl: Cô rất khoẻ mạnh .
vi: Cô ấy đã đặt phòng .,vsl: Cô đặt phòng .
vi: Cô ấy muốn một chiếc mũ mới .,vsl: Cô muốn một chiếc mũ .
vi: Nó sẽ không thích việc này .,vsl: Nó thích việc này không
vi: Cô ấy sẽ không thích điều này .,vsl: Cô thích điều này không
vi: Cô ấy sẽ không thích cái này .,vsl: Cô thích cái này không
vi: Cô ấy sẽ không thích việc này .,vsl: Cô thích việc này không
vi: Cô ấy là một người tốt bụng .,vsl: Cô là một người tốt bụng .
vi: Cô ấy thực sự là một cô gái xinh đẹp .,vsl: Cô thực sự là một cô gái xinh đẹp .
vi: Im mồm !,vsl: Im mồm .
vi: Im mẹ mồm đi !,vsl: Im mẹ mồm đi .
vi: Im mồm đi !,vsl: Im mồm đi .
vi: Im con mẹ mồm đi .,vsl: Im con mẹ mồm đi .
vi: Cậu bé ở đằng kia đang chạy .,vsl: Cậu bé ở đằng kia chạy .
vi: Giá tốt đấy .,vsl: Giá tốt đấy .
vi: Điều đó là bất khả thi .,vsl: Điều đó là bất khả thi .
vi: Đó là lý do Nam đến .,vsl: Đó là lý do Nam đến .
vi: Chuông báo cháy vang lên .,vsl: Chuông báo cháy vang lên .
vi: Không có giới hạn nào cả .,vsl: giới hạn không có .
vi: Thật tuyệt vời .,vsl: Tuyệt vời .
vi: Họ nên biết nó chứ .,vsl: Họ nên biết nó .
vi: Đó không phải là một con hổ .,vsl: Đó phải là một con hổ không
vi: Đây là cái tôi cần .,vsl: Đây là cái tôi .
vi: Cái bàn này nặng quá .,vsl: Cái bàn này nặng quá .
vi: Hôm nay là một ngày ấm áp .,vsl: Hôm nay là một ngày ấm áp .
vi: Nam ăn như lợn vậy .,vsl: Nam ăn như lợn .
vi: Nam đã cầm lấy cái ghế .,vsl: Nam cầm lấy cái ghế .
vi: Nam rất ghét từ đó .,vsl: Nam rất ghét từ đó .
vi: Nam là một phi công giỏi .,vsl: Nam là một phi công giỏi .
vi: Nam là một hoa tiêu giỏi .,vsl: Nam là một hoa tiêu giỏi .
vi: Bây giờ Nam là người lớn .,vsl: Bây giờ Nam là người lớn .
vi: Nam là đồng nghiệp của tôi .,vsl: Nam là đồng nghiệp tôi .
vi: Nam đã thắp nến lên .,vsl: Nam thắp nến lên .
vi: Nam trông có vẻ khác trước .,vsl: Nam trông có vẻ khác trước .
vi: Nam đã đưa ra sự lựa chọn .,vsl: Nam đưa ra sự lựa chọn .
vi: Có lẽ Nam chưa chết .,vsl: Có lẽ Nam chưa chết .
vi: Nam cần phải đi cắt tóc .,vsl: Nam cần phải đi cắt tóc .
vi: Nam đã mở cổng .,vsl: Nam mở cổng .
vi: Nam mở cửa két sắt .,vsl: Nam mở cửa két sắt .
vi: Nam nhận ra Mary .,vsl: Nam nhận ra Mary .
vi: Nam đã nhận ra Mary .,vsl: Nam nhận ra Mary .
vi: Nam bắt đầu đóng gói đồ đạc .,vsl: Nam bắt đầu đóng gói đồ đạc .
vi: Nam đã có tên trên danh sách .,vsl: Nam có tên trên danh sách .
vi: Tôm sẽ không bao giờ biết .,vsl: Tôm bao giờ biết không
vi: Nam sẽ không thử lại .,vsl: Nam thử không
vi: Hãy thử mặc chiếc áo len này xem .,vsl: thử mặc chiếc áo len này xem .
vi: Bạn mặc thử cái áo len này đi .,vsl: Bạn mặc thử cái áo len này đi .
vi: Chúng ta đều đã thay đổi .,vsl: Chúng ta đều thay đổi .
vi: Chúng tôi đã bắt kịp chuyến tàu hỏa .,vsl: Chúng tôi bắt kịp chuyến tàu hỏa .
vi: Chúng tôi cần một chiếc xe tải mới .,vsl: Chúng tôi một chiếc xe tải .
vi: Chúng ta cần một chiếc xe tải mới .,vsl: Chúng ta một chiếc xe tải .
vi: Chúng tôi đã giành được thắng lợi .,vsl: Chúng tôi giành được thắng lợi .
vi: Mình sẽ dành thời gian .,vsl: Mình dành thời gian .
vi: Chúng tôi không phải là người lạ .,vsl: Chúng tôi phải là người lạ không
vi: Chúng ta đã hết bơ .,vsl: Chúng ta hết bơ .
vi: Chúng ta hết bơ rồi .,vsl: Chúng ta hết bơ rồi .
vi: Bạn đã trả lời thế nào ?,vsl: Bạn trả lời thế nào ?
vi: Bạn đã trả lời như thế nào ?,vsl: Bạn trả lời như thế nào ?
vi: Đây là đường gì ?,vsl: Đây là đường gì ?
vi: Bây giờ là mấy giờ rồi ?,vsl: Bây giờ là giờ rồi mấy ?
vi: Nam về khi nào thế ?,vsl: Nam về khi ?
vi: Nam về lúc nào đấy ?,vsl: Nam về lúc đấy ?
vi: Ai làm vỡ cái đĩa ?,vsl: làm vỡ cái đĩa ai ?
vi: Ông già kia là ai vậy ?,vsl: Ông già kia là ai ?
vi: Ai ăn cắp quả táo ?,vsl: ăn cắp quả tào ai ?
vi: Sao mày xấu thế ?,vsl: Sao mày xấu ?
vi: Sao mày xấu quá vậy ?,vsl: Sao mày xấu quá ?
vi: Sao bạn xấu quá ?,vsl: Sao bạn xấu quá ?
vi: Sao Nam lại hôn tôi ?,vsl: Sao Nam hôn tôi ?
vi: Tại sao Nam hôn tôi ?,vsl: Tại sao Nam hôn tôi ?
vi: Sao cô ấy lại làm thế ?,vsl: Sao cô làm ?
vi: Tại sao anh hôn em ?,vsl: Tại sao anh hôn em ?
vi: Sao em lại hôn anh ?,vsl: Sao em hôn anh ?
vi: Bạn sẽ cắt giảm chứ ?,vsl: Bạn cắt giảm ?
vi: Mùa đông đang đến .,vsl: Mùa đông đến .
vi: Bạn giỏi nấu ăn nhỉ .,vsl: Bạn giỏi nấu ăn .
vi: Bây giờ bạn có thể về nhà .,vsl: Bây giờ bạn có thể về nhà .
vi: Bây giờ bạn có thể về nhà .,vsl: Bây giờ bạn có thể về nhà .
vi: Bạn cần được bảo vệ .,vsl: Bạn được bảo vệ .
vi: Bạn cần phải được bảo vệ .,vsl: Bạn cần phải được bảo vệ .
vi: Bạn sẽ không hối hận về điều đó đâu .,vsl: Bạn hối hận về điều đó đâu không
vi: Bạn cũng thua rồi .,vsl: Bạn cũng thua rồi .
vi: Mày cũng thua rồi .,vsl: Mày cũng thua rồi .
vi: Bạn cũng là một kẻ thất bại .,vsl: Bạn cũng là một kẻ thất bại .
vi: Bạn cũng không phải là ngoại lệ .,vsl: Bạn cũng phải là ngoại lệ không
vi: Bạn cũng không phải ngoại lệ .,vsl: Bạn cũng phải ngoại lệ không
vi: Bạn đẹp quá !,vsl: Bạn đẹp quá .
vi: Tối nay bạn có rảnh không ?,vsl: Tối nay bạn có rảnh không ?
vi: Bạn tối nay có rảnh không ?,vsl: Bạn tối nay có rảnh không ?
vi: Bạn có còn đói không ?,vsl: Bạn có còn đói không ?
vi: Bạn còn đói không ?,vsl: Bạn còn đói không ?
vi: Bác có còn đói không ạ ?,vsl: Bác có còn đói không ?
vi: Bạn vẫn còn sợ à ?,vsl: Bạn còn sợ ?
vi: Hãy thổi tắt nến .,vsl: thổi tắt nến .
vi: Hãy thổi tắt nến đi .,vsl: thổi tắt nến đi .
vi: Hãy tắt nến đi .,vsl: tắt nến đi .
vi: Tôi ăn trong phòng mình có được không ?,vsl: Tôi ăn trong phòng mình có được không ?
vi: Tôi ăn trong phòng mình được không ?,vsl: Tôi ăn trong phòng mình được không ?
vi: Tôi mang túi hộ bạn nhé ?,vsl: Tôi mang túi hộ bạn ?
vi: Tôi mang giỏ dùm bạn nhé ?,vsl: Tôi mang giỏ dùm bạn ?
vi: Cho tôi mượn cái điện thoại của bạn có được không ?,vsl: Cho tôi mượn cái điện thoại bạn có được không ?
vi: Nam có nói được tiếng Pháp không ?,vsl: Nam có nói được tiếng Pháp không ?
vi: Nam biết nói tiếng Pháp không ?,vsl: Nam biết nói tiếng Pháp không ?
vi: Bạn có thể giải thích điều đó không ?,vsl: Bạn có thể giải thích điều đó không ?
vi: Họ có vũ khí không ?,vsl: Họ có vũ khí không ?
vi: Bạn thích làm gì thì làm .,vsl: Bạn thích làm làm gì
vi: Thích làm gì thì làm .,vsl: Thích làm làm gì
vi: Bạn thích làm gì thì làm .,vsl: Bạn thích làm làm gì
vi: Thích làm gì thì làm .,vsl: Thích làm làm gì
vi: Bạn có biết tôi là ai không ?,vsl: Bạn có biết tôi là không ?
vi: Bạn có cần chúng tôi giúp không ?,vsl: Bạn có chúng tôi giúp không ?
vi: Bạn có chơi bóng đá không ?,vsl: Bạn có chơi bóng đá không ?
vi: Bạn biết nói tiếng Anh không ?,vsl: Bạn biết nói tiếng Anh không ?
vi: Bạn có nói tiếng Anh không ?,vsl: Bạn có nói tiếng Anh không ?
vi: Đừng phanh đột ngột .,vsl: Đừng phanh đột ngột .
vi: Đưa họ ra khỏi đây .,vsl: Đưa họ ra khỏi đây .
vi: Đưa họ ra khỏi đây đi .,vsl: Đưa họ ra khỏi đây đi .
vi: Hãy mang chúng ra khỏi đây .,vsl: mang chúng ra khỏi đây .
vi: Đưa cho tôi đôi găng tay đó .,vsl: Đưa cho tôi đôi găng tay đó .
vi: Trả cái đó lại cho tôi .,vsl: Trả cái đó cho tôi .
vi: Uống một ly với tôi .,vsl: Uống một ly với tôi .
vi: Anh ấy đã chọn một người vợ tốt .,vsl: Anh chọn một người vợ tốt .
vi: Anh ấy đã lựa chọn một người vợ tốt .,vsl: Anh lựa chọn một người vợ tốt .
vi: Anh ấy không làm gì sai .,vsl: Anh làm sai gì
vi: Anh ấy đã chết một năm trước .,vsl: Anh chết một năm trước .
vi: Anh ấy đã mất một năm trước .,vsl: Anh mất một năm trước .
vi: Anh ấy có một cái ô tô nước ngoài .,vsl: Anh có một cái ô tô nước ngoài .
vi: Ông ấy có một chiếc xe hơi nước ngoài .,vsl: Ông có một chiếc xe hơi nước ngoài .
vi: Anh ta đánh tôi do nhầm lẫn .,vsl: Anh ta đánh tôi do nhầm lẫn .
vi: Anh ta cao mét rưỡi .,vsl: Anh ta cao mét rưỡi .
vi: Anh ta đang làm bánh quy .,vsl: Anh ta làm bánh quy .
vi: Anh ấy thích cái đàn guitar này .,vsl: Anh thích cái đàn guitar này .
vi: Ông ấy thích cái guitar này .,vsl: Ông thích cái guitar này .
vi: Anh ấy đã nói chuyện một mình .,vsl: Anh nói chuyện một mình .
vi: Anh ấy đã từng sống ở đây .,vsl: Anh sống ở đây .
vi: Khả năng ghi nhớ của ông ấy khiến tôi vô cùng ấn tượng .,vsl: Khả năng ghi nhớ ông khiến tôi vô cùng ấn tượng .
vi: Tôi vô cùng ấn tượng về trí nhớ của anh ấy .,vsl: Tôi vô cùng ấn tượng về trí nhớ anh .
vi: Tôi rất đỗi ấn tượng về khả năng ghi nhớ của ông ta .,vsl: Tôi rất đỗi ấn tượng về khả năng ghi nhớ ông ta .
vi: Cô ấy đẹp quá !,vsl: Cô đẹp quá .
vi: Cô ấy xinh đẹp quá !,vsl: Cô xinh đẹp quá .
vi: Bể bơi sâu bao nhiêu vậy ?,vsl: Bể bơi sâu bao nhiêu ?
vi: Tiền thuê giá bao nhiêu ?,vsl: Tiền thuê giá bao nhiêu ?
vi: Công việc của bạn như thế nào ?,vsl: Công việc bạn như thế nào ?
vi: Công việc của mày dư lào ?,vsl: Công việc mày dư lào ?
vi: Tôi đang ăn một quả táo .,vsl: Tôi ăn một quả táo .
vi: Tôi không bỏ bạn mà đi đâu .,vsl: Tôi bỏ bạn mà đi đâu không
vi: Tôi chắc chắn sẽ thành công .,vsl: Tôi chắc chắn thành công .
vi: Tôi cũng đã ăn kem .,vsl: Tôi cũng ăn kem .
vi: Tôi đã làm vỡ đồ gạt tàn của bạn rồi .,vsl: Tôi làm vỡ đồ gạt tàn bạn rồi .
vi: Tao đã làm bể đồ gạt tàn thuốc của mày rồi .,vsl: Tao làm bể đồ gạt tàn thuốc mày rồi .
vi: Tôi chạy xe đạp,vsl: Tôi chạy xe đạp .
vi: Tôi không nhìn được gì .,vsl: Tôi nhìn được gì
vi: Tôi không thích tranh luận .,vsl: Tôi thích tranh luận không
vi: Tôi không cần làm việc .,vsl: Tôi làm việc không
vi: Tôi đã có một người giáo viên tốt .,vsl: Tôi có một người giáo viên tốt .
vi: Tôi đã có một người thầy tốt .,vsl: Tôi có một người thầy tốt .
vi: Tớ có một vài người bạn .,vsl: Tớ có một vài người bạn .
vi: Tôi không có thêm ý tưởng nào nữa .,vsl: Tôi có thêm ý tưởng nữa không
vi: Tao không có thêm ý tưởng nào nữa .,vsl: Tao có thêm ý tưởng nữa không
vi: Tôi biết Nam rất rõ .,vsl: Tôi biết Nam rất rõ .
vi: Tôi hiểu ý bạn .,vsl: Tôi hiểu ý bạn .
vi: Tôi thích ăn sầu riêng .,vsl: Tôi thích ăn sầu riêng .
vi: Tôi rất thích quả cam .,vsl: Tôi rất thích quả cam .
vi: Tôi thích cưỡi ngựa .,vsl: Tôi thích cưỡi ngựa .
vi: Tôi yêu bạn rất nhiều .,vsl: Tôi yêu bạn rất nhiều .
vi: Anh yêu em rất nhiều .,vsl: Anh yêu em rất nhiều .
vi: Em yêu anh rất nhiều .,vsl: Em yêu anh rất nhiều .
vi: Hôm qua tôi gặp Marie .,vsl: Hôm qua tôi gặp Marie .
vi: Hôm qua tôi đã gặp Mary .,vsl: Hôm qua tôi gặp Mary .
vi: Tôi đã gặp Nam ở trên đường .,vsl: Tôi gặp Nam ở trên đường .
vi: Nam nghĩ Nam bị thừa cân .,vsl: Nam nghĩ Nam thừa cân .
vi: Tôi muốn có máy MP3 !,vsl: Tôi muốn có máy MP3 .
vi: Tôi muốn đóng góp .,vsl: Tôi muốn đóng góp .
vi: Tôi muốn cống hiến .,vsl: Tôi muốn cống hiến .
vi: Mình vẫn muốn nói tiếp .,vsl: Mình muốn nói tiếp .
vi: Tôi bị phạt một Đô-la .,vsl: Tôi phạt một Đô-la .
vi: Tôi sẽ thử .,vsl: Tôi thử .
vi: Tôi sẽ thử xem sao .,vsl: Tôi thử xem sao .
vi: Tôi ước gì tôi cao hơn .,vsl: Tôi ước tôi cao hơn gì
vi: Tôi sẽ không đi học .,vsl: Tôi đi học không
vi: Hôm nay tôi đã làm việc rất nhiều,vsl: Hôm nay tôi làm việc rất nhiều .
vi: Tôi thừa nhận là tôi sai .,vsl: Tôi thừa nhận là tôi sai .
vi: Tôi sẽ cực kỳ cẩn thận .,vsl: Tôi cực kỳ cẩn thận .
vi: Hôm nay tôi sẽ ở nhà .,vsl: Hôm nay tôi ở nhà .
vi: Tôi là người giám sát Nam .,vsl: Tôi là người giám sát Nam .
vi: Tôi đang học lớp tám .,vsl: Tôi học lớp tám .
vi: Tôi học lớp 8 .,vsl: Tôi học lớp 8 .
vi: Tôi trông cậy vào bạn .,vsl: Tôi trông cậy vào bạn .
vi: Thật mừng là tôi đã ở đó .,vsl: Thật mừng là tôi ở đó .
vi: Tôi mừng là tôi không phải Nam .,vsl: Tôi mừng là tôi phải Nam không
vi: Tôi có khả năng tương tác xã hội tốt .,vsl: Tôi có khả năng tương tác xã hội tốt .
vi: Tôi hạnh phúc khi ở đây .,vsl: Tôi hạnh phúc khi ở đây .
vi: Tôi không phải là nhà báo .,vsl: Tôi phải là nhà báo không
vi: Tôi không quen với điều này .,vsl: Tôi quen với điều này không
vi: Tôi không bơi giỏi .,vsl: Tôi bơi giỏi không
vi: Tôi bơi không giỏi .,vsl: Tôi bơi giỏi không
vi: Tôi rất tiếc khi nghe chuyện này .,vsl: Tôi rất tiếc khi nghe chuyện này .
vi: Tôi chán phải chờ đợi rồi .,vsl: Tôi chán phải chờ đợi rồi .
vi: Tôi đang viết một bức thư .,vsl: Tôi viết một bức thư .
vi: Tôi đang viết một lá thư .,vsl: Tôi viết một lá thư .
vi: Tôi có việc phải làm .,vsl: Tôi có việc phải làm .
vi: Tôi có việc cần làm .,vsl: Tôi có việc làm .
vi: Đó có phải là tất cả những gì bạn muốn không ?,vsl: Đó có phải là tất cả bạn muốn không ?
vi: Đã mười một giờ rồi .,vsl: mười một giờ rồi .
vi: Hôm nay rất nóng .,vsl: Hôm nay rất nóng .
vi: Đó không phải là ý hay .,vsl: Đó phải là ý hay không
vi: Đó không phải một ý hay .,vsl: Đó phải một ý hay không
vi: Nó trông thật đẹp .,vsl: Nó trông thật đẹp .
vi: Lúc ấy trời vẫn còn mưa .,vsl: Lúc trời còn mưa .
vi: Nó là một cơn bão khủng khiếp .,vsl: Nó là một cơn bão khủng khiếp .
vi: Đó là một bệnh về da đầu,vsl: Đó là một bệnh về da đầu .
vi: Với chúng tôi tất cả đã kết thúc .,vsl: Với chúng tôi tất cả kết thúc .
vi: Đó là cái CD của tôi phải không ?,vsl: Đó là cái CD tôi phải không ?
vi: Đó không phải là ý hay .,vsl: Đó phải là ý hay không
vi: Đó không phải một ý hay .,vsl: Đó phải một ý hay không
vi: Trời bắt đầu có tuyết rồi đấy .,vsl: Trời bắt đầu có tuyết rồi đấy .
vi: Tuyết bắt đầu rơi rồi đấy .,vsl: Tuyết bắt đầu rơi rồi đấy .
vi: Đóng cửa đi .,vsl: Đóng cửa đi .
vi: Bạn đóng cửa đi nào .,vsl: Bạn đóng cửa đi .
vi: Hãy đi ngủ một chút .,vsl: đi ngủ một chút .
vi: Hãy lắng nghe lẫn nhau .,vsl: lắng nghe lẫn nhau .
vi: Mary không phải chị của Nam .,vsl: Mary phải chị Nam không
vi: Mary không phải là chị của Nam .,vsl: Mary phải là chị Nam không
vi: Cho tôi mượn cái điện thoại của bạn có được không ?,vsl: Cho tôi mượn cái điện thoại bạn có được không ?
vi: Bố tôi làm việc ở đây .,vsl: Bố tôi làm việc ở đây .
vi: Đừng quay lại đây .,vsl: Đừng quay đây .
vi: Đừng có mà quay lại đây .,vsl: Đừng có mà quay đây .
vi: Không ai trách em cả .,vsl: trách em ai
vi: Hãy há to miệng ra .,vsl: há to miệng ra .
vi: Xin đừng quên .,vsl: Xin đừng quên .
vi: Làm ơn hãy đóng cửa .,vsl: Làm ơn đóng cửa .
vi: Xin hãy dẫn chúng tôi tới đó .,vsl: Xin dẫn chúng tôi tới đó .
vi: Xin hãy dẫn chúng tôi đến đó .,vsl: Xin dẫn chúng tôi đến đó .
vi: Xin hãy gọi điện cho ổng .,vsl: Xin gọi điện cho ổng .
vi: Cô ấy trông rất trẻ .,vsl: Cô trông rất trẻ .
vi: Bà ấy trông rất trẻ .,vsl: Bà trông rất trẻ .
vi: Cô ấy đã thử làm việc đó một mình .,vsl: Cô thử làm việc đó một mình .
vi: Bà ấy đã thử tự làm việc ấy .,vsl: Bà thử tự làm việc .
vi: Cô ấy cũng bận bịu như Nam vậy .,vsl: Cô cũng bận bịu như Nam .
vi: Hãy cho tôi xem nó hoạt động thế nào .,vsl: cho tôi xem nó hoạt động thế nào .
vi: Cho tôi xem nó hoạt động như thế nào đi .,vsl: Cho tôi xem nó hoạt động như thế nào đi .
vi: Mùa đông đang đến .,vsl: Mùa đông đến .
vi: Hãy tránh mưa .,vsl: tránh mưa .
vi: Làm ơn mang nó đi giúp tôi .,vsl: Làm ơn mang nó đi giúp tôi .
vi: Để cái bàn này ra chỗ khác đi .,vsl: cái bàn này ra chỗ khác đi .
vi: Bạn để cái bàn này ra chỗ khác đi .,vsl: Bạn cái bàn này ra chỗ khác đi .
vi: Cái bàn này bạn để ra chỗ khác đi .,vsl: Cái bàn này bạn ra chỗ khác đi .
vi: Cảm ơn vì đã ghé chơi .,vsl: Cảm ơn ghé chơi .
vi: Cảm ơn bạn vì đã ghé qua đây chơi .,vsl: Cảm ơn bạn ghé qua đây chơi .
vi: Đó là sự lựa chọn của bạn .,vsl: Đó là sự lựa chọn bạn .
vi: Thằng nhóc vui hẳn lên .,vsl: Thằng nhóc vui hẳn lên .
vi: Cái áo không phải của tôi .,vsl: Cái áo phải tôi không
vi: Mặt đất dường như ẩm ướt .,vsl: Mặt đất dường như ẩm ướt .
vi: Mặt trăng sáng quá .,vsl: Mặt trăng sáng quá .
vi: Ông già ngồi xuống .,vsl: Ông già ngồi xuống .
vi: Lão già ngồi xuống .,vsl: Lão già ngồi xuống .
vi: Cảnh sát đang ở đó .,vsl: Cảnh sát ở đó .
vi: Công an đang ở đó .,vsl: Công an ở đó .
vi: Những thứ này không phải cho cậu .,vsl: thứ này phải cho cậu không
vi: Những quyển sách này là của tôi .,vsl: quyển sách này là tôi .
vi: Tụi nó là những người ăn chay .,vsl: Tụi nó là người ăn chay .
vi: Hai người họ yêu nhau .,vsl: Hai người họ yêu nhau .
vi: Họ dừng lại để nói chuyện .,vsl: Họ dừng nói chuyện .
vi: Họ sẽ đưa tôi đi .,vsl: Họ đưa tôi đi .
vi: Bọn họ sẽ đưa tôi đi .,vsl: Bọn họ đưa tôi đi .
vi: Trái táo này bị hư rồi .,vsl: Trái táo này hư rồi .
vi: Đây là một cây chanh .,vsl: Đây là một cây chanh .
vi: Điều này thật kỳ lạ .,vsl: Điều này thật kỳ lạ .
vi: Đây không phải là tình yêu thật sự .,vsl: Đây phải là tình yêu thật sự không
vi: Đây không phải là tình yêu đích thực .,vsl: Đây phải là tình yêu đích thực không
vi: Cái laptop này nhẹ phết nhỉ .,vsl: Cái laptop này nhẹ phết .
vi: Sữa này không ngon .,vsl: Sữa này ngon không
vi: Cái này sẽ tốn €30 .,vsl: Cái này tốn €30 .
vi: Việc này sẽ tốn €30 .,vsl: Việc này tốn €30 .
vi: Thứ này sẽ tốn €30 .,vsl: Thứ này tốn €30 .
vi: Nam và tôi đều sợ .,vsl: Nam và tôi đều sợ .
vi: Nam kiểm tra danh sách .,vsl: Nam kiểm tra danh sách .
vi: Nam đã phủ nhận tin đồn đó .,vsl: Nam phủ nhận tin đồn đó .
vi: Nam đáng được biết .,vsl: Nam đáng được biết .
vi: Nam đã không mời tôi .,vsl: Nam mời tôi không
vi: Nam không ăn thịt .,vsl: Nam ăn thịt không
vi: Nam đã rất giận dữ .,vsl: Nam rất giận dữ .
vi: Nam được một con điểm tốt .,vsl: Nam được một con điểm tốt .
vi: Nam có hai anh em trai .,vsl: Nam có hai anh em trai .
vi: Nam có hai người anh trai .,vsl: Nam có hai người anh trai .
vi: Nam có hai người em trai .,vsl: Nam có hai người em trai .
vi: Nam đã nghe thấy vài tiếng súng .,vsl: Nam nghe thấy vài tiếng súng .
vi: Nam là một ca sĩ dân ca .,vsl: Nam là một ca sĩ dân ca .
vi: Nam là sinh viên mới .,vsl: Nam là sinh viên .
vi: Nam chẳng bao giờ đúng giờ cả .,vsl: Nam chẳng bao giờ đúng giờ .
vi: Chắc hẳn là Nam đang tự hào lắm .,vsl: Chắc hẳn là Nam tự hào .
vi: Chắc hẳn là Nam đang rất tự hào .,vsl: Chắc hẳn là Nam rất tự hào .
vi: Nam đi tất vào .,vsl: Nam đi tất vào .
vi: Nam đi tất vào .,vsl: Nam đi tất vào .
vi: Nam trông có vẻ bận rộn .,vsl: Nam trông có vẻ bận rộn .
vi: Nam vẫn muốn Mary .,vsl: Nam muốn Mary .
vi: Rồi Nam sẽ hối hận về điều này .,vsl: Rồi Nam hối hận về điều này .
vi: Rồi Nam sẽ biết tay tôi .,vsl: Rồi Nam biết tay tôi .
vi: Nam sẽ không chờ đâu .,vsl: Nam chờ đâu không
vi: Nam sẽ không chờ đợi đâu .,vsl: Nam chờ đợi đâu không
vi: Nam sẽ không đi với chúng tôi .,vsl: Nam đi với chúng tôi không
vi: Nam là một gã rất tệ .,vsl: Nam là một gã rất tệ .
vi: Cố gắng hiểu tôi à ?,vsl: Cố gắng hiểu tôi ?
vi: Thời tiết lúc đó có tốt không ?,vsl: Thời tiết lúc đó có tốt không ?
vi: Nước phản chiếu ánh sáng .,vsl: Nước phản chiếu ánh sáng .
vi: Chúng tôi luôn đi bằng xe buýt .,vsl: Chúng tôi luôn đi bằng xe buýt .
vi: Bọn mình cần nghĩ lớn hơn .,vsl: Bọn mình nghĩ lớn hơn .
vi: Chúng tôi đã vừa đi bộ vừa hát .,vsl: Chúng tôi vừa đi bộ vừa hát .
vi: Chúng tôi hết sức xin lỗi về chuyện đã xảy ra .,vsl: Chúng tôi hết sức xin lỗi về chuyện xảy ra .
vi: Chúng tôi rất tiếc về việc đã xảy ra .,vsl: Chúng tôi rất tiếc về việc xảy ra .
vi: Bạn đang nấu món gì vậy ?,vsl: Bạn nấu món gì ?
vi: Bạn đang ngâm nga cái gì thế ?,vsl: Bạn ngâm nga cái gì ?
vi: Bạn đang ngâm nga cái gì đó ?,vsl: Bạn ngâm nga cái đó gì ?
vi: Bạn đang ngâm nga cái gì vậy ?,vsl: Bạn ngâm nga cái gì ?
vi: Bạn muốn gì nào ?,vsl: Bạn muốn gì ?
vi: Bây giờ anh muốn cái gì ?,vsl: Bây giờ anh muốn cái gì ?
vi: Bây giờ mày muốn cái gì ?,vsl: Bây giờ mày muốn cái gì ?
vi: Bây giờ chị muốn cái gì ?,vsl: Bây giờ chị muốn cái gì ?
